Provinsi,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Aceh,301196.35,55.11,1659966.28
Sumatera Utara,419463.48,52.56,2204875.51
Sumatera Barat,295278.98,45.94,1356467.93
Riau,56421.96,39.36,222055.71
Jambi,61625.68,45.6,281022.05
Sumatera Selatan,521092.21,55.83,2909411.67
Bengkulu,55775.09,48.92,272848.55
Lampung,531715.12,52.5,2791347.53
Kepulauan Bangka Belitung,18202.56,42.57,77489.79
Kepulauan Riau,113.33,26.92,305.09
DKI Jakarta,498.31,46.29,2306.54
Jawa Barat,1475362.09,58.47,8626879.91
Jawa Tengah,1554777.14,57.19,8891297.05
DI Yogyakarta,96976.13,46.7,452831.77
Jawa Timur,1616985.05,57.33,9270435.29
Banten,299090.79,51.84,1550623.46
Bali,103803.93,61.22,635473.35
Nusa Tenggara Barat,281717.84,51.59,1453408.37
Nusa Tenggara Timur,168727.24,41.95,707792.54
Kalimantan Barat,247207.72,30.94,764784.15
Kalimantan Tengah,111016.13,32.98,366146.82
Kalimantan Selatan,246112.42,41.83,1029567.93
Kalimantan Timur,63041.65,39.6,249642.9
Kalimantan Utara,8282.06,36.32,30079.77
Sulawesi Utara,59121.96,46.2,273134.94
Sulawesi Tengah,172606.22,44.14,761936.39
Sulawesi Selatan,951308.6,50.65,4818429.39
Sulawesi Tenggara,129999.61,42.76,555836.08
Gorontalo,46952.15,50.02,234862.88
Sulawesi Barat,63181.59,50.47,318876.59
Maluku,23947.35,38.05,91125.35
Maluku Utara,9366.71,33.34,31232.95
Papua Barat,5121.13,40.48,20729.15
Papua Barat Daya,363.87,27.17,988.64
Papua,1068.57,43.14,4609.95
Papua Selatan,47168.57,46.17,217789.62
Papua Tengah,1436.12,42.28,6072.38
Papua Pegunungan,9.66,43.87,42.38
Indonesia,10046135.36,52.9,53142726.65
