Provinsi,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Aceh,297058.38,55.03,1634639.6
Sumatera Utara,385405,52,2004142.51
Sumatera Barat,272391.95,48.36,1317209.38
Riau,53062.35,40.98,217458.87
Jambi,64412.26,46.29,298149.25
Sumatera Selatan,496241.65,51.44,2552443.19
Bengkulu,55704.69,48.67,271117.19
Lampung,489573.23,50.77,2485452.78
Kepulauan Bangka Belitung,18278.27,38.57,70496.25
Kepulauan Riau,270.16,31.65,855.01
DKI Jakarta,559.97,58.03,3249.47
Jawa Barat,1604109.31,56.81,9113573.08
Jawa Tengah,1696712.36,56.69,9618656.81
DI Yogyakarta,107506.16,51.77,556531.03
Jawa Timur,1747481.2,56.02,9789587.67
Banten,318248.46,50.38,1603247
Bali,105201.31,58.83,618910.81
Nusa Tenggara Barat,276211.88,51.39,1419559.84
Nusa Tenggara Timur,174900.07,41.85,731877.74
Kalimantan Barat,223165.74,31.9,711898.01
Kalimantan Tengah,125870.05,30.28,381189.55
Kalimantan Selatan,254263.59,39.97,1016313.55
Kalimantan Timur,66269.46,36.92,244677.96
Kalimantan Utara,8880.83,33.74,29967.31
Sulawesi Utara,59182.52,39.35,232884.76
Sulawesi Tengah,182186.62,47.59,867012.77
Sulawesi Selatan,985158.23,51.67,5090637.23
Sulawesi Tenggara,127517.29,41.57,530029.08
Gorontalo,48713.5,48.12,234392.86
Sulawesi Barat,59763.18,52.05,311072.46
Maluku,28319.75,41.24,116803.67
Maluku Utara,7781.96,36.05,28050.8
Papua Barat,6414.94,41.98,26926.93
Papua,64984.9,44.05,286279.8
Indonesia,10411801.22,52.26,54415294.22
,,,
Catatan,,,
<sup>1</sup> Kualitas produksi gabah kering giling (GKG)/The production form is dry unhusked paddy,,,
