Provinsi,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Aceh,254287.38,55.22,1404234.82
Sumatera Utara,406109.49,51.4,2087474.15
Sumatera Barat,300564.77,49.32,1482468.79
Riau,51914.14,39.68,205972.55
Jambi,61236.64,45.06,275941.45
Sumatera Selatan,504143.03,56.19,2832773.92
Bengkulu,57877.18,49.53,286684.43
Lampung,530108.09,52.03,2757898.19
Kepulauan Bangka Belitung,15284.56,43.49,66468.89
Kepulauan Riau,115.27,28.11,324.01
DKI Jakarta,542.93,49.26,2674.28
Jawa Barat,1583656.28,57.71,9140039.2
Jawa Tengah,1642761.23,55.3,9084107.53
DI Yogyakarta,105693.66,50.53,534113.69
Jawa Timur,1698083.31,57.19,9710661.33
Banten,311199.73,54.19,1686483.29
Bali,108514.06,62.07,673580.65
Nusa Tenggara Barat,287512.14,53.51,1538536.92
Nusa Tenggara Timur,184698.89,41.52,766810.46
Kalimantan Barat,224068.52,31.25,700290.8
Kalimantan Tengah,101580.3,32.56,330781.05
Kalimantan Selatan,214283.82,40.86,875545.73
Kalimantan Timur,57082.01,39.76,226972.07
Kalimantan Utara,6499.92,36.31,23602
Sulawesi Utara,54562.95,43.65,238193.41
Sulawesi Tengah,177699.03,46.22,821367.41
Sulawesi Selatan,967790.21,50.39,4876386.11
Sulawesi Tenggara,113930.26,42.08,479407.25
Gorontalo,49610.47,50.68,251431.76
Sulawesi Barat,58606.67,49.73,291458.59
Maluku,22636.68,35.32,79958.34
Maluku Utara,7709.07,34.59,26663.23
Papua Barat,5006.27,45.08,22566.81
Papua Barat Daya,579.83,41.34,2396.95
Papua,840.18,44.76,3760.45
Papua Selatan,44807.86,40.98,183627.83
Papua Tengah,2094.2,44.28,9273.22
Papua Pegunungan,14.14,43.59,61.63
Indonesia,10213705.17,52.85,53980993.19
