TAHUN,PROVINSI,IKP,Kerentanan Area,P0,KPM,RLS,RTL,Wirausaha,Usaha Kecil,Usaha Besar,Karyawan/Formal,Lepas Pertanian,Lepas Non-Pertanian,Pekerja Keluarga,1,2-3,4-5,≥6,Pengeluaran Pangan,Pengeluaran Nonpangan
2019,PAPUA,"25,13",Sangat Rentan,"27,04",81025,"6,85","10,5",308033,530201,13648,365892,7429,12474,537353,"8,33","36,7","36,94","18,03",665291.69,549426.59
2020,ACEH,"70,92",Tahan,"15,21",451940,"9,71","24,26",509827,339338,90449,809054,132693,137726,340818,"7,04","29,6","44,83","18,53",595634.83,484536.41
2020,SUMATERA UTARA,"71,84",Tahan,"8,95",769342,"9,83","25,83",1352205,1002856,217457,2545432,299280,322660,1102362,"6,27","32,11","43,55","18,07",598244.67,526007.92
2020,SUMATERA BARAT,"78,64",Sangat Tahan,"6,42",295752,"9,34","31,49",537973,465902,92633,777869,169217,123553,414377,"7,33","31,61","42,48","18,57",644852.66,590197.45
2020,RIAU,"64,12",Agak Tahan,"6,93",290601,"9,47","18,72",625296,338641,140533,1190394,240413,111851,375860,"5,3","34,64","45,66","14,4",668073.75,672372.58
2020,JAMBI,70,Tahan,"7,78",189741,"8,97","23,51",418262,239586,72819,575215,107473,68741,256907,"5,12","37,66","46,78","10,44",590173.34,536516.27
2020,SUMATERA SELATAN,"68,67",Tahan,"12,82",569116,"8,68","25,16",900422,670435,91468,1329859,201881,142470,754848,"4,73","34,41","47,7","13,16",535136.35,486893.93
2020,BENGKULU,"70,28",Tahan,"15,17",143305,"9,20","23,12",185883,216589,40299,277208,61093,48490,202319,"7,64","36,31","46,51","9,55",573499.58,566575.09
2020,LAMPUNG,"77,43",Sangat Tahan,"12,55",777161,"8,51","26,86",790903,876063,113593,1073703,287962,284597,853288,"5,7","38,24","45,49","10,57",503976.2,470447.72
2020,KEPULAUAN BANGKA BELITUNG,"71,21",Tahan,"4,71",56937,"8,49","23,26",167775,82637,31148,298292,24011,21920,74098,"7,75","39,03","43,47","9,75",771121.02,730722.53
2020,KEPULAUAN RIAU,"62,7",Agak Tahan,"6,03",63483,"10,22",14,221646,43939,37133,619501,5643,33642,55096,"9,98","37,61","43,8","8,61",800424.35,973096.69
2020,DKI JAKARTA,"77,97",Sangat Tahan,"4,61",198393,"11,17","21,76",1136325,241509,152646,2725778,227,150294,252472,"12,36","38,64","40,2","8,8",944687.09,1313304.39
2020,JAWA BARAT,"76,78",Sangat Tahan,"8,16",3311983,"8,96","26,58",4865637,2470776,675618,8949645,1148583,1551029,2013566,"8,54","40,36","42,38","8,72",655838.24,669121.59
2020,JAWA TENGAH,"82,31",Sangat Tahan,"11,63",3423462,"8,19","37,71",3215839,3069996,552390,5979731,813270,1444284,2461425,"8,31","39,86","41,11","10,72",496173.09,522314.29
2020,DI YOGYAKARTA,"80,67",Sangat Tahan,"12,54",355098,"9,95","35,64",385519,373738,81050,824651,36223,117315,307820,"18,43","37,25","35,97","8,35",579279.07,832692.77
2020,JAWA TIMUR,"79,9",Sangat Tahan,"11,28",3515152,"8,31","36,32",3678071,3749120,744415,6877833,1314717,1240770,3358041,"9,08","42,33","39,33","9,27",521577.12,542804.78
2020,BANTEN,"73,48",Tahan,"6,28",563134,"9,22","21,07",1259692,504767,142788,2679194,168452,340457,456822,"4,55","34,76","47,28","13,41",756673.23,760370.87
2020,BALI,"84,54",Sangat Tahan,"4,12",169490,"9,31","30,17",389571,423321,70473,979017,69253,106801,384983,"10,41","35,56","39,66","14,37",675145.59,834520.05
2020,NUSA TENGGARA BARAT,"75,6",Sangat Tahan,"14,10",577559,"8,08","23,2",500716,579399,57082,626434,179398,179926,453001,"8,76","45,57","37,36","8,31",574202.21,515561.39
2020,NUSA TENGGARA TIMUR,"66,92",Tahan,"21,06",504194,"8,09","28,25",513603,727832,59087,592435,64934,70851,697213,"6,8","26,27","39,48","27,45",442700.04,351661.11
2020,KALIMANTAN BARAT,"71,13",Tahan,"7,21",303557,"7,90","25,38",522067,424967,77867,831555,81029,84982,435829,"5,42","32,38","46,51","15,68",584259.49,540803.99
